amount,previous_successes,previous_failures,retry_count,customer_age_days,payment_method,failure_type,hour,recovered
6430.33,0,5,2,260,Card,declined,23,1
7432.61,17,0,3,42,UPI,temporary,6,1
6059.99,17,1,3,235,Wallet,expired,0,0
1680.63,13,2,2,169,Card,expired,3,1
1057.49,11,4,2,836,UPI,network,17,1
9230.72,2,4,2,859,NetBanking,declined,22,1
6646.51,9,0,1,897,UPI,network,8,1
8357.69,5,2,2,224,NetBanking,temporary,19,1
5387.98,7,1,3,398,NetBanking,declined,21,1
7706.3,1,1,0,834,NetBanking,network,8,1
9140.05,18,5,2,227,Wallet,network,20,1
2722.31,7,5,2,774,Wallet,network,11,1
9975.62,16,3,0,783,UPI,temporary,4,1
7941.59,13,4,0,404,Wallet,network,16,1
5576.94,0,5,0,708,NetBanking,expired,3,1
1665.76,0,5,2,522,Card,temporary,20,1
6425.6,19,1,1,392,Card,temporary,19,1
292.82,11,2,1,69,Card,temporary,2,1
8178.63,17,1,1,685,Wallet,declined,8,1
6105.28,6,4,1,740,NetBanking,network,21,1
4437.19,16,3,0,263,Card,temporary,10,1
5583.82,18,1,0,82,UPI,declined,2,0
8610.39,2,4,1,295,Wallet,declined,17,1
9361.59,18,4,3,258,Wallet,network,6,1
6623.93,11,3,3,488,UPI,temporary,1,1
3459.1,3,1,1,204,Wallet,declined,13,1
4680.02,2,3,0,61,UPI,temporary,7,1
4907.85,6,3,0,178,Wallet,temporary,12,1
7862.3,14,2,3,723,Wallet,declined,6,1
9690.22,18,5,0,775,NetBanking,temporary,1,1
5078.22,16,1,0,993,UPI,declined,2,1
6784.6,7,3,0,974,Card,temporary,19,1
6607.99,18,4,2,967,NetBanking,declined,21,0
2462.99,12,1,2,478,NetBanking,temporary,0,1
9984.7,3,0,1,528,NetBanking,declined,11,0
8804.78,11,2,1,458,NetBanking,temporary,21,1
3063.85,3,1,2,128,UPI,declined,8,0
2185.23,10,1,2,527,Wallet,expired,1,1
4293.4,8,0,0,351,Card,expired,5,0
5561.64,13,4,0,124,UPI,declined,17,1
3755.24,17,1,3,140,UPI,expired,11,0
7981.61,1,2,1,708,Card,temporary,11,0
8852.93,13,4,1,957,Card,declined,5,0
345.38,10,3,1,283,Card,temporary,12,1
8600.07,7,1,3,368,NetBanking,declined,7,1
2011.98,10,2,0,1000,NetBanking,expired,20,1
6827.23,17,2,0,128,NetBanking,declined,18,0
2728.12,3,4,3,363,NetBanking,network,19,0
1244.89,18,1,2,55,Wallet,temporary,16,0
5430.67,6,2,3,81,NetBanking,expired,21,0
7225.57,9,4,2,692,Wallet,expired,12,0
5588.68,6,3,3,703,Card,expired,12,0
104.02,9,1,3,814,NetBanking,network,14,1
2215.64,15,5,1,684,UPI,expired,16,0
6230.68,2,1,2,240,Card,declined,0,1
9840.97,19,0,3,434,Card,network,15,1
1560.96,0,0,3,234,Card,network,1,0
9182.95,3,3,1,830,Wallet,expired,14,0
7220.81,16,3,3,928,Card,network,14,1
2547.67,20,2,3,651,Card,expired,14,1
2928.71,8,2,2,924,UPI,declined,4,1
6970.1,6,0,3,427,NetBanking,network,13,1
8345.62,12,4,0,887,Wallet,network,0,0
3056.27,12,3,1,509,Card,expired,13,1
3949.69,12,5,1,870,Wallet,declined,19,1
9078.6,18,4,0,95,Wallet,declined,14,1
2675.55,10,1,3,344,NetBanking,network,8,0
8336.05,8,0,3,29,UPI,expired,7,0
7834.21,20,0,0,982,Card,declined,0,1
2461.59,15,5,0,587,Card,network,22,1
3752.06,19,4,0,806,Card,expired,3,0
9295.98,18,5,3,416,Card,temporary,18,0
6309.7,3,5,2,880,UPI,temporary,11,0
6649.06,2,4,2,22,Wallet,network,3,0
3685.66,14,5,1,455,Card,expired,19,0
5427.91,15,3,3,855,NetBanking,expired,7,0
957.96,14,1,3,593,Wallet,expired,0,0
3317.64,15,1,2,826,NetBanking,expired,8,0
7041.72,8,4,0,539,Card,temporary,7,1
4936.92,7,5,3,671,Wallet,network,0,1
2293.8,7,2,2,494,NetBanking,network,23,1
3582.92,14,2,2,267,Card,temporary,23,1
1283.59,17,5,1,206,Card,network,8,1
9768.41,16,4,2,112,Card,expired,7,0
3092.45,17,1,2,56,UPI,expired,22,0
6414.91,15,0,0,597,NetBanking,network,15,1
1925.2,1,2,3,126,UPI,network,15,1
6331.51,1,1,1,840,NetBanking,temporary,7,1
7667.99,19,4,1,804,Wallet,network,14,1
5926.4,13,2,0,634,UPI,declined,20,1
6638.24,5,1,1,575,UPI,declined,0,1
6924.77,15,2,0,247,NetBanking,expired,22,0
804.68,7,2,1,445,UPI,declined,20,1
2729.76,4,0,0,179,NetBanking,expired,14,1
6917.91,12,2,3,458,UPI,temporary,13,0
6076.77,0,0,1,994,UPI,expired,18,1
7587.06,15,4,3,948,NetBanking,declined,18,0
8161.02,2,3,2,428,NetBanking,expired,21,1
1692.17,13,5,3,305,Wallet,temporary,14,1
2598.75,3,3,0,683,Wallet,network,1,1
3681.62,15,5,3,788,UPI,declined,8,0
9283.96,14,5,3,134,UPI,declined,22,1
5553.31,17,3,0,240,UPI,network,3,1
1624.31,9,4,2,435,Wallet,network,7,1
1531.96,6,4,1,894,UPI,expired,13,1
